Data Source,World Development Indicators,Year,Value
Malaysia,MYS,1976,2.541574999
Saudi Arabia,SAU,1976,3.529999999
Singapore,SGP,1976,2.470841666
Thailand,THA,1976,20.40010292
United States,USA,1976,1.0
China,CHN,1977,1.857823382
"Hong Kong SAR, China",HKG,1977,4.662
Japan,JPN,1977,268.51
"Korea, Rep.",KOR,1977,484.0
Malaysia,MYS,1977,2.461283332
Saudi Arabia,SAU,1977,3.525064999
Singapore,SGP,1977,2.439399999
Thailand,THA,1977,20.40010292
United States,USA,1977,1.0
China,CHN,1978,1.683589419
"Hong Kong SAR, China",HKG,1978,4.683666667
Japan,JPN,1978,210.4416667
"Korea, Rep.",KOR,1978,484.0
Malaysia,MYS,1978,2.316041666
Saudi Arabia,SAU,1978,3.399561666
Singapore,SGP,1978,2.274024999
Thailand,THA,1978,20.3361026
United States,USA,1978,1.0
China,CHN,1979,1.554938954
"Hong Kong SAR, China",HKG,1979,5.002666666
Japan,JPN,1979,219.14
"Korea, Rep.",KOR,1979,484.0
Malaysia,MYS,1979,2.188441666
Saudi Arabia,SAU,1979,3.360836666
Singapore,SGP,1979,2.174558333
Thailand,THA,1979,20.41893635
United States,USA,1979,1.0
China,CHN,1980,1.498386058
"Hong Kong SAR, China",HKG,1980,4.976083333
Japan,JPN,1980,226.7408333
"Korea, Rep.",KOR,1980,607.7166667
Malaysia,MYS,1980,2.176883332
Saudi Arabia,SAU,1980,3.326741666
Singapore,SGP,1980,2.141208333
Thailand,THA,1980,20.47635331
United States,USA,1980,1.0
China,CHN,1981,1.704541666
"Hong Kong SAR, China",HKG,1981,5.589333333
Japan,JPN,1981,220.5358333
"Korea, Rep.",KOR,1981,681.0283333
Malaysia,MYS,1981,2.304124999
Saudi Arabia,SAU,1981,3.382508333
Singapore,SGP,1981,2.112691666
Thailand,THA,1981,21.82044342
United States,USA,1981,1.0
China,CHN,1982,1.892541666
"Hong Kong SAR, China",HKG,1982,6.069916667
Japan,JPN,1982,249.0766667
"Korea, Rep.",KOR,1982,731.1675
Malaysia,MYS,1982,2.335391666
Saudi Arabia,SAU,1982,3.428170832
Singapore,SGP,1982,2.140024999
Thailand,THA,1982,23.00011604
United States,USA,1982,1.0
China,CHN,1983,1.975674999
"Hong Kong SAR, China",HKG,1983,7.265166667
Japan,JPN,1983,237.5116667
"Korea, Rep.",KOR,1983,775.7483333
Malaysia,MYS,1983,2.321249999
Saudi Arabia,SAU,1983,3.454759166
Singapore,SGP,1983,2.113049999
Thailand,THA,1983,23.00011604
United States,USA,1983,1.0
China,CHN,1984,2.320041666
"Hong Kong SAR, China",HKG,1984,7.818
Japan,JPN,1984,237.5225
"Korea, Rep.",KOR,1984,805.9708333
Malaysia,MYS,1984,2.343641666
Saudi Arabia,SAU,1984,3.523810833
Singapore,SGP,1984,2.133083333
Thailand,THA,1984,23.63936927
United States,USA,1984,1.0
China,CHN,1985,2.936658333
"Hong Kong SAR, China",HKG,1985,7.79075
Japan,JPN,1985,238.5358333
"Korea, Rep.",KOR,1985,870.02
Malaysia,MYS,1985,2.483041667
Saudi Arabia,SAU,1985,3.622135833
Singapore,SGP,1985,2.20015
Thailand,THA,1985,27.15888702
United States,USA,1985,1.0
China,CHN,1986,3.452791667
"Hong Kong SAR, China",HKG,1986,7.803333333
Japan,JPN,1986,168.5198333
"Korea, Rep.",KOR,1986,881.4558333
Malaysia,MYS,1986,2.581441667
Saudi Arabia,SAU,1986,3.70625
Singapore,SGP,1986,2.177416667
Thailand,THA,1986,26.29888269
United States,USA,1986,1.0
China,CHN,1987,3.7221
"Hong Kong SAR, China",HKG,1987,7.79825
Japan,JPN,1987,144.6375
"Korea, Rep.",KOR,1987,822.5641667
Malaysia,MYS,1987,2.519638333
Saudi Arabia,SAU,1987,3.75
Singapore,SGP,1987,2.105983333
Thailand,THA,1987,25.72279645
United States,USA,1987,1.0
China,CHN,1988,3.7221
"Hong Kong SAR, China",HKG,1988,7.806
Japan,JPN,1988,128.1516667
"Korea, Rep.",KOR,1988,731.4633333
Malaysia,MYS,1988,2.618783333
Saudi Arabia,SAU,1988,3.75
Singapore,SGP,1988,2.012425
Thailand,THA,1988,25.29387761
United States,USA,1988,1.0
China,CHN,1989,3.765108333
"Hong Kong SAR, China",HKG,1989,7.799916667
Japan,JPN,1989,137.9644167
"Korea, Rep.",KOR,1989,671.4558333
Malaysia,MYS,1989,2.708841667
Saudi Arabia,SAU,1989,3.75
Singapore,SGP,1989,1.950258333
Thailand,THA,1989,25.70204634
United States,USA,1989,1.0
China,CHN,1990,4.783208333
"Hong Kong SAR, China",HKG,1990,7.78975
Japan,JPN,1990,144.7925
"Korea, Rep.",KOR,1990,707.7658333
Malaysia,MYS,1990,2.704875
Saudi Arabia,SAU,1990,3.75
Singapore,SGP,1990,1.812533333
Thailand,THA,1990,25.58546242
United States,USA,1990,1.0
China,CHN,1991,5.323391667
"Hong Kong SAR, China",HKG,1991,7.771166667
Japan,JPN,1991,134.7066667
"Korea, Rep.",KOR,1991,733.3291667
Malaysia,MYS,1991,2.750066667
Saudi Arabia,SAU,1991,3.75
Singapore,SGP,1991,1.72755
Thailand,THA,1991,25.51679541
United States,USA,1991,1.0
China,CHN,1992,5.514591667
"Hong Kong SAR, China",HKG,1992,7.740583333
Japan,JPN,1992,126.6513333
"Korea, Rep.",KOR,1992,780.6708333
Malaysia,MYS,1992,2.547383333
Saudi Arabia,SAU,1992,3.75
Singapore,SGP,1992,1.628966667
Thailand,THA,1992,25.40012815
United States,USA,1992,1.0
China,CHN,1993,5.761958333
"Hong Kong SAR, China",HKG,1993,7.735583333
Japan,JPN,1993,111.1977858
"Korea, Rep.",KOR,1993,802.5383333
Malaysia,MYS,1993,2.574095
Saudi Arabia,SAU,1993,3.75
Singapore,SGP,1993,1.615790833
Thailand,THA,1993,25.31961108
United States,USA,1993,1.0
China,CHN,1994,8.618742667
"Hong Kong SAR, China",HKG,1994,7.728416667
Japan,JPN,1994,102.2078058
"Korea, Rep.",KOR,1994,803.7716667
Malaysia,MYS,1994,2.624256667
Saudi Arabia,SAU,1994,3.75
Singapore,SGP,1994,1.527444167
Thailand,THA,1994,25.14995189
United States,USA,1994,1.0
China,CHN,1995,8.351416667
"Hong Kong SAR, China",HKG,1995,7.735833333
Japan,JPN,1995,94.05957917
"Korea, Rep.",KOR,1995,771.2541667
Malaysia,MYS,1995,2.504404167
Saudi Arabia,SAU,1995,3.75
Singapore,SGP,1995,1.417375
Thailand,THA,1995,24.9151757
United States,USA,1995,1.0
China,CHN,1996,8.314175
"Hong Kong SAR, China",HKG,1996,7.734254167
Japan,JPN,1996,108.7790567
"Korea, Rep.",KOR,1996,804.4575
Malaysia,MYS,1996,2.5159425
Saudi Arabia,SAU,1996,3.75
Singapore,SGP,1996,1.410040833
Thailand,THA,1996,25.34268286
United States,USA,1996,1.0
China,CHN,1997,8.289816667
"Hong Kong SAR, China",HKG,1997,7.742083333
Japan,JPN,1997,120.9908625
"Korea, Rep.",KOR,1997,949.89
Malaysia,MYS,1997,2.813191667
Saudi Arabia,SAU,1997,3.75
Singapore,SGP,1997,1.484805833
Thailand,THA,1997,31.36433445
United States,USA,1997,1.0
China,CHN,1998,8.278958333
"Hong Kong SAR, China",HKG,1998,7.745333333
Japan,JPN,1998,130.9053007
"Korea, Rep.",KOR,1998,1403.183333
Malaysia,MYS,1998,3.924375
Saudi Arabia,SAU,1998,3.75
Singapore,SGP,1998,1.673601667
Thailand,THA,1998,41.3593875
United States,USA,1998,1.0
China,CHN,1999,8.27825
"Hong Kong SAR, China",HKG,1999,7.7575
Japan,JPN,1999,113.906805
"Korea, Rep.",KOR,1999,1189.439167
Malaysia,MYS,1999,3.8
Saudi Arabia,SAU,1999,3.75
Singapore,SGP,1999,1.694956667
Thailand,THA,1999,37.81365583
United States,USA,1999,1.0
China,CHN,2000,8.278504167
"Hong Kong SAR, China",HKG,2000,7.791166667
Japan,JPN,2000,107.7654983
"Korea, Rep.",KOR,2000,1130.3625
Malaysia,MYS,2000,3.8
Saudi Arabia,SAU,2000,3.75
Singapore,SGP,2000,1.723963333
Thailand,THA,2000,40.11180333
United States,USA,2000,1.0
China,CHN,2001,8.277068333
"Hong Kong SAR, China",HKG,2001,7.79875
Japan,JPN,2001,121.5289475
"Korea, Rep.",KOR,2001,1290.79
Malaysia,MYS,2001,3.8
Saudi Arabia,SAU,2001,3.75
Singapore,SGP,2001,1.7917225
Thailand,THA,2001,44.4319
United States,USA,2001,1.0
China,CHN,2002,8.2769575
"Hong Kong SAR, China",HKG,2002,7.798916667
Japan,JPN,2002,125.3880192
"Korea, Rep.",KOR,2002,1251.6025
Malaysia,MYS,2002,3.8
Saudi Arabia,SAU,2002,3.75
Singapore,SGP,2002,1.790588333
Thailand,THA,2002,42.96008333
United States,USA,2002,1.0
China,CHN,2003,8.277036667
"Hong Kong SAR, China",HKG,2003,7.78675
Japan,JPN,2003,115.9334642
"Korea, Rep.",KOR,2003,1191.645833
Malaysia,MYS,2003,3.8
Saudi Arabia,SAU,2003,3.75
Singapore,SGP,2003,1.742183333
Thailand,THA,2003,41.48461667
United States,USA,2003,1.0
China,CHN,2004,8.276800833
"Hong Kong SAR, China",HKG,2004,7.788
Japan,JPN,2004,108.1925692
"Korea, Rep.",KOR,2004,1146.249167
Malaysia,MYS,2004,3.8
Saudi Arabia,SAU,2004,3.75
Singapore,SGP,2004,1.690228333
Thailand,THA,2004,40.22241492
United States,USA,2004,1.0
China,CHN,2005,8.194316667
"Hong Kong SAR, China",HKG,2005,7.777333333
Japan,JPN,2005,110.2182117
"Korea, Rep.",KOR,2005,1024.328333
Malaysia,MYS,2005,3.787091667
Saudi Arabia,SAU,2005,3.75
Singapore,SGP,2005,1.6643975
Thailand,THA,2005,40.22013021
United States,USA,2005,1.0
China,CHN,2006,7.973438333
"Hong Kong SAR, China",HKG,2006,7.767833333
Japan,JPN,2006,116.2993117
"Korea, Rep.",KOR,2006,955.3408333
Malaysia,MYS,2006,3.668176958
Saudi Arabia,SAU,2006,3.75
Singapore,SGP,2006,1.588933333
Thailand,THA,2006,37.88198322
United States,USA,2006,1.0
China,CHN,2007,7.6075325
"Hong Kong SAR, China",HKG,2007,7.801416667
Japan,JPN,2007,117.7535292
"Korea, Rep.",KOR,2007,929.3758333
Malaysia,MYS,2007,3.437569382
Saudi Arabia,SAU,2007,3.75
Singapore,SGP,2007,1.507101667
Thailand,THA,2007,34.51818059
United States,USA,2007,1.0
China,CHN,2008,6.948655
"Hong Kong SAR, China",HKG,2008,7.786833333
Japan,JPN,2008,103.359494
"Korea, Rep.",KOR,2008,1100.125833
Malaysia,MYS,2008,3.335833333
Saudi Arabia,SAU,2008,3.75
Singapore,SGP,2008,1.414860833
Thailand,THA,2008,33.31330064
United States,USA,2008,1.0
China,CHN,2009,6.831416052
"Hong Kong SAR, China",HKG,2009,7.75175
Japan,JPN,2009,93.57008909
"Korea, Rep.",KOR,2009,1277.245833
Malaysia,MYS,2009,3.524502911
Saudi Arabia,SAU,2009,3.75
Singapore,SGP,2009,1.454514713
Thailand,THA,2009,34.28577412
United States,USA,2009,1.0
China,CHN,2010,6.770269029
"Hong Kong SAR, China",HKG,2010,7.769166667
Japan,JPN,2010,87.779875
"Korea, Rep.",KOR,2010,1156.46
Malaysia,MYS,2010,3.221086915
Saudi Arabia,SAU,2010,3.75
