reporteriso3,count,total_mfn,total_prf,total_pta,reporter_wbgroup,partner_wbgroup,avg_mfn,avg_prf
CHN,2018,4206.176123447502,187.34310286901925,1,Upper middle income,High income,2.084329099825323,0.09283602718980141
HKG,1721,0.0,0.0,0,High income,High income,0.0,0.0
JPN,1109,582.3547491910327,105.33488400677436,1,High income,High income,0.5251169965654038,0.09498186114226723
KOR,2061,3929.985976890703,388.1955177462704,1,High income,High income,1.9068345351240674,0.18835299259886967
MYS,3426,3510.803454447046,118.24899729815478,1,Upper middle income,High income,1.0247529055595581,0.03451517726157466
SAU,360,525.5636427291906,28.588687408663045,1,High income,High income,1.4598990075810852,0.07941302057961958
THA,2755,4772.696802134887,1.791759469228055,1,Upper middle income,High income,1.7323763347132075,0.0006503664135129057
USA,1646,1613.1626159755435,0.0,1,High income,High income,0.9800501919657008,0.0
