Year,Country,Partner Country,FTA,FTA Weight,Other Agreements,Tariff %,Product Tariffed,Weight in Exports
2012,JPN,SAU,,0,0.6,,,
2012,JPN,THA,,1,,,,
2012,JPN,USA,,0,0.5,,,
2012,KOR,MYS,,1,,,,
2012,KOR,SAU,,0,0.5,,,
2012,KOR,THA,,1,,,,
2012,KOR,USA,,1,,,,
2012,MYS,SAU,,1,0.5,,,
2012,MYS,THA,,1,,,,
2012,MYS,USA,,0,0.5,,,
2012,SAU,THA,,0,0.6,,,
2012,SAU,USA,,0,1,,,
2012,THA,USA,,0,0.6,,,
2012,IDN,CHN,,1,,,,
2012,IDN,HKG,,1,,,,
2012,IDN,JPN,,1,,,,
2012,IDN,KOR,,1,,,,
2012,IDN,MYS,,1,,,,
2012,IDN,SAU,,0,,,,
2012,IDN,THA,,1,,,,
2012,IDN,SG,,1,,,,
2012,IDN,USA,,0,,,,
2013,SGP,CHN,,1,0.5,,,
2013,SGP,HKG,,0,0.5,,,
2013,SGP,JPN,,1,0.8,,,
2013,SGP,KOR,,1,0.8,,,
2013,SGP,MYS,ASEAN,1,1,,,
2013,SGP,SAU,,0,0.8,,,
2013,SGP,THA,ASEAN,1,0.8,,,
2013,SGP,USA,,1,0.8,,,
2013,CHN,HKG,,1,,,,
2013,CHN,JPN,,0,0.2,,,
2013,CHN,KOR,,0,0.2,,,
2013,CHN,MYS,ACFTA,1,,,,
2013,CHN,SAU,,0,0.8,,,
2013,CHN,THA,ACFTA,1,,,,
2013,CHN,USA,,0,0.4,,,
2013,HKG,JPN,,0,1,,,
2013,HKG,KOR,,0,1,,,
2013,HKG,MYS,,1,,,,
2013,HKG,SAU,,0,0.5,,,
2013,HKG,THA,,1,,,,
2013,HKG,USA,,0,1,,,
2013,JPN,KOR,,0,1,,,
2013,JPN,MYS,,1,,,,
2013,JPN,SAU,,0,0.6,,,
2013,JPN,THA,,1,,,,
2013,JPN,USA,,0,0.5,,,
2013,KOR,MYS,,1,,,,
2013,KOR,SAU,,0,0.5,,,
2013,KOR,THA,,1,,,,
2013,KOR,USA,,1,,,,
2013,MYS,SAU,,1,0.5,,,
2013,MYS,THA,,1,,,,
2013,MYS,USA,,0,0.5,,,
2013,SAU,THA,,0,0.6,,,
2013,SAU,USA,,0,1,,,
2013,THA,USA,,0,0.6,,,
2013,IDN,CHN,,1,,,,
2013,IDN,HKG,,1,,,,
2013,IDN,JPN,,1,,,,
2013,IDN,KOR,,1,,,,
2013,IDN,MYS,,1,,,,
2013,IDN,SAU,,0,,,,
2013,IDN,THA,,1,,,,
2013,IDN,SG,,1,,,,
2013,IDN,USA,,0,,,,
2014,SGP,CHN,,1,0.5,,,
2014,SGP,HKG,,0,0.5,,,
2014,SGP,JPN,,1,0.8,,,
2014,SGP,KOR,,1,0.8,,,
2014,SGP,MYS,ASEAN,1,1,,,
2014,SGP,SAU,,0,0.8,,,
2014,SGP,THA,ASEAN,1,0.8,,,
2014,SGP,USA,,1,0.8,,,
2014,CHN,HKG,,1,,,,
2014,CHN,JPN,,0,0.2,,,
2014,CHN,KOR,,1,0.2,,,
2014,CHN,MYS,ACFTA,1,,,,
2014,CHN,SAU,,0,0.8,,,
2014,CHN,THA,ACFTA,1,,,,
2014,CHN,USA,,0,0.4,,,
2014,HKG,JPN,,0,1,,,
2014,HKG,KOR,,0,1,,,
2014,HKG,MYS,,1,,,,
2014,HKG,SAU,,0,0.5,,,
2014,HKG,THA,,1,,,,
2014,HKG,USA,,0,1,,,
2014,JPN,KOR,,0,1,,,
2014,JPN,MYS,,1,,,,
2014,JPN,SAU,,0,0.6,,,
2014,JPN,THA,,1,,,,
2014,JPN,USA,,0,0.5,,,
2014,KOR,MYS,,1,,,,
2014,KOR,SAU,,0,0.5,,,
2014,KOR,THA,,1,,,,
2014,KOR,USA,,1,,,,
2014,MYS,SAU,,1,0.5,,,
2014,MYS,THA,,1,,,,
2014,MYS,USA,,0,0.5,,,
2014,SAU,THA,,0,0.6,,,
2014,SAU,USA,,0,1,,,
2014,THA,USA,,0,0.6,,,
2014,IDN,CHN,,1,,,,
2014,IDN,HKG,,1,,,,
2014,IDN,JPN,,1,,,,
