typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","784","ARE","United Arab Emirates","0","W00","World","H4","HS","true","33","Essential oils and resinoids; perfumery, cosmetic or toilet preparations","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","11182860.98",,"11182860.98","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","38","Chemical products n.e.c.","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","5235503.261",,"5235503.261","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","38","Chemical products n.e.c.","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false","173903682.197",,"173903682.197","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","608","PHL","Philippines","0","W00","World","H4","HS","true","38","Chemical products n.e.c.","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false","1958101.229",,"1958101.229","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","699","IND","India","0","W00","World","H4","HS","true","38","Chemical products n.e.c.","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","43973356.7",,"43973356.7","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","704","VNM","Viet Nam","0","W00","World","H4","HS","true","38","Chemical products n.e.c.","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false","11314660.159",,"11314660.159","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","784","ARE","United Arab Emirates","0","W00","World","H4","HS","true","38","Chemical products n.e.c.","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false","628440.969",,"628440.969","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","39","Plastics and articles thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","36097774.992",,"36097774.992","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","39","Plastics and articles thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","326152403.647",,"326152403.647","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","608","PHL","Philippines","0","W00","World","H4","HS","true","39","Plastics and articles thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","9515948.964",,"9515948.964","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","699","IND","India","0","W00","World","H4","HS","true","39","Plastics and articles thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","57730362.574",,"57730362.574","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","704","VNM","Viet Nam","0","W00","World","H4","HS","true","39","Plastics and articles thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","26418809.425",,"26418809.425","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","784","ARE","United Arab Emirates","0","W00","World","H4","HS","true","39","Plastics and articles thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","223288818.356",,"223288818.356","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","71","Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","1322750062.966",,"1322750062.966","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","71","Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","90659435.113",,"90659435.113","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","608","PHL","Philippines","0","W00","World","H4","HS","true","71","Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","2198760.617",,"2198760.617","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","699","IND","India","0","W00","World","H4","HS","true","71","Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","836118533.366",,"836118533.366","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","704","VNM","Viet Nam","0","W00","World","H4","HS","true","71","Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","2291972.556",,"2291972.556","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","784","ARE","United Arab Emirates","0","W00","World","H4","HS","true","71","Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","2419898831.078",,"2419898831.078","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","83","Metal; miscellaneous products of base metal","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","3331128.48",,"3331128.48","0","false","true",
