Year,Product,HS Code,Country,Imports,Exports,Trade Volume
2013,Cosmetics & Fragrances,33.0,Thailand,73493324.73,445577973.6,519071298.33
2013,Mineral Fuels & Oils,27.0,Indonesia,7997411122.0,13940617740.0,21938028862.0
2013,Jewellery & Precious Metals,71.0,China,649851776.1,1079020021.0,1728871797.1
2013,Mineral Fuels & Oils,27.0,China,4115606484.0,5597820965.0,9713427449.0
2013,Jewellery & Precious Metals,71.0,Indonesia,1393823760.0,3550696806.0,4944520566.0
2013,Base Metal Products,83.0,Thailand,12492325.77,20870387.74,33362713.51
2013,Base Metal Products,83.0,Saudi Arabia,13981.231,1354929.589,1368910.8199999998
2013,Base Metal Products,83.0,South Korea,17001723.23,9326187.452,26327910.682
2013,Base Metal Products,83.0,Malaysia,43830524.38,83527204.22,127357728.6
2013,Base Metal Products,83.0,Japan,28708606.68,3843890.144,32552496.824
2013,Base Metal Products,83.0,Indonesia,12972905.33,102945147.7,115918053.03
2013,Base Metal Products,83.0,China,137520774.0,30595158.02,168115932.02
2013,Base Metal Products,83.0,United States,82135716.44,22464273.96,104599990.4
2014,Optical & Medical Instruments,90.0,United States,3231533343.0,2655269006.0,5886802349.0
2014,Optical & Medical Instruments,90.0,Saudi Arabia,972327.744,74280008.14,75252335.884
2014,Optical & Medical Instruments,90.0,South Korea,137246784.1,850892910.9,988139695.0
2014,Optical & Medical Instruments,90.0,Malaysia,1021080649.0,1225414450.0,2246495099.0
2014,Organic Chemicals,29.0,China,980740230.6,3522237360.0,4502977590.6
2014,Optical & Medical Instruments,90.0,Japan,937714525.6,978128065.7,1915842591.3
2014,Organic Chemicals,29.0,Indonesia,160830464.0,1602155387.0,1762985851.0
2014,Optical & Medical Instruments,90.0,Thailand,128291093.9,535751331.1,664042425.0
2014,Optical & Medical Instruments,90.0,China,966645832.4,2427552791.0,3394198623.4
2014,Machinery & Boilers,84.0,United States,12008831597.0,5100157834.0,17108989431.0
2014,Machinery & Boilers,84.0,Thailand,1630815071.0,2828021344.0,4458836415.0
2014,Machinery & Boilers,84.0,Saudi Arabia,5175550.809,500144334.2,505319885.009
2014,Machinery & Boilers,84.0,South Korea,859278262.8,1891291968.0,2750570230.8
2014,Machinery & Boilers,84.0,Malaysia,3704007823.0,5524960263.0,9228968086.0
2014,Organic Chemicals,29.0,Japan,336381617.6,299050557.5,635432175.1
2014,Machinery & Boilers,84.0,Japan,4314884325.0,2670232678.0,6985117003.0
2014,Optical & Medical Instruments,90.0,Indonesia,477215252.0,1089600567.0,1566815819.0
2014,Organic Chemicals,29.0,South Korea,145241332.7,579241715.7,724483048.4000001
2014,All Products,99.0,Japan,15528112322.07,12194209395.292,27722321717.362
2014,Organic Chemicals,29.0,Thailand,422684779.1,934977919.5,1357662698.6
2014,Machinery & Boilers,84.0,Indonesia,1794514823.0,6400798888.0,8195313711.0
2014,All Products,99.0,United States,29410956736.38,18758704645.98,48169661382.36
2014,All Products,99.0,Thailand,7106513815.753,12522291081.97,19628804897.723
2014,All Products,99.0,South Korea,20351915590.44,14494200064.107,34846115654.547
2014,All Products,99.0,Saudi Arabia,14583916405.784,958048984.9,15541965390.684002
2014,All Products,99.0,Malaysia,31315070583.27,42357054607.99,73672125191.26
2014,All Products,99.0,Indonesia,13948944707.7,31879221436.81,45828166144.51
2014,All Products,99.0,China,34491595277.5,49599648682.07,84091243959.57
2014,Plastics,39.0,United States,1159088286.0,453686170.6,1612774456.6
2014,Plastics,39.0,Thailand,171089322.9,847229890.6,1018319213.5
2014,Plastics,39.0,Saudi Arabia,2164929441.0,84927337.27,2249856778.27
2014,Plastics,39.0,South Korea,247282688.9,310442120.4,557724809.3
2014,Plastics,39.0,Malaysia,870611647.2,2052839292.0,2923450939.2
2014,Plastics,39.0,Japan,543129212.7,455289903.6,998419116.3
2014,Plastics,39.0,Indonesia,159274761.2,1770020522.0,1929295283.2
2014,Plastics,39.0,China,592007007.9,5112175391.0,5704182398.9
2014,Organic Chemicals,29.0,United States,846135211.5,1037525861.0,1883661072.5
2014,Organic Chemicals,29.0,Saudi Arabia,1513672067.0,33097210.67,1546769277.67
2014,Machinery & Boilers,84.0,China,9536932097.0,5548495787.0,15085427884.0
2014,Organic Chemicals,29.0,Malaysia,371485498.5,1381067925.0,1752553423.5
2014,Jewellery & Precious Metals,71.0,Thailand,140278033.3,690049471.2,830327504.5
2014,Cosmetics & Fragrances,33.0,Saudi Arabia,3114772.795,4046419.547,7161192.342
2014,Cosmetics & Fragrances,33.0,South Korea,44214125.27,617381155.0,661595280.27
2014,Cosmetics & Fragrances,33.0,Malaysia,55538285.89,290264621.1,345802906.99
2014,Cosmetics & Fragrances,33.0,Japan,201475221.3,291892222.5,493367443.8
2014,Cosmetics & Fragrances,33.0,Indonesia,62486566.16,492100771.1,554587337.26
2014,Cosmetics & Fragrances,33.0,China,144088523.3,454386739.7,598475263.0
2014,Other Chemicals,38.0,China,368988825.5,1053755957.0,1422744782.5
2014,Other Chemicals,38.0,Indonesia,239172739.6,369028469.2,608201208.8
2014,Other Chemicals,38.0,Malaysia,337159683.4,419881102.9,757040786.3
2014,Other Chemicals,38.0,South Korea,90639549.71,451709931.8,542349481.51
2014,Other Chemicals,38.0,Saudi Arabia,11821423.37,7788550.273,19609973.643
2014,Other Chemicals,38.0,Thailand,14500692.07,283779479.9,298280171.97
2014,Other Chemicals,38.0,United States,1155978104.0,321609727.4,1477587831.4
2014,Electrical Equipment & AV Gear,85.0,China,16626522457.0,22858394298.0,39484916755.0
2014,Electrical Equipment & AV Gear,85.0,Indonesia,2226740609.0,5223663436.0,7450404045.0
2014,Electrical Equipment & AV Gear,85.0,Japan,4802828012.0,6771847151.0,11574675163.0
2014,Electrical Equipment & AV Gear,85.0,Malaysia,12061069423.0,11352117674.0,23413187097.0
2014,Electrical Equipment & AV Gear,85.0,South Korea,10448194284.0,7817979046.0,18266173330.0
