year,CountryPair,agree,IdealPointAll.x,IdealPointAll.y,IdealPointDistance
1946.0,"('Saudi Arabia', 'United States of America')",0.573170731707317,1.3616765,1.3616765,0.629347
1947.0,"('Saudi Arabia', 'Thailand')",0.676470588235294,0.34785685,0.34785685,0.2533957
1947.0,"('Saudi Arabia', 'United States of America')",0.421875,1.098163,1.098163,1.754008
1947.0,"('Thailand', 'United States of America')",0.588235294117647,1.22486085,1.22486085,1.5006123
1948.0,"('Saudi Arabia', 'Thailand')",0.682352941176471,0.50675745,0.50675745,0.5215173
1948.0,"('Saudi Arabia', 'United States of America')",0.556701030927835,1.0660504,1.0660504,1.6401032
1948.0,"('Thailand', 'United States of America')",0.730769230769231,1.32680905,1.32680905,1.1185859
1949.0,"('Saudi Arabia', 'Thailand')",0.709677419354839,0.29133015,0.29133015,0.9073631
1949.0,"('Saudi Arabia', 'United States of America')",0.515873015873016,0.7954303,0.7954303,1.9155634
1949.0,"('Thailand', 'United States of America')",0.717741935483871,1.24911185,1.24911185,1.0082003
1950.0,"('Indonesia', 'Saudi Arabia')",0.794117647058823,-0.59714005,-0.59714005,0.2147451
1950.0,"('Indonesia', 'Thailand')",0.637254901960784,0.18966919999999993,0.18966919999999993,1.7883636
1950.0,"('Indonesia', 'United States of America')",0.607843137254902,0.45798769999999994,0.45798769999999994,2.3250006
1950.0,"('Saudi Arabia', 'Thailand')",0.745283018867924,0.29704174999999994,0.29704174999999994,1.5736185
1950.0,"('Saudi Arabia', 'United States of America')",0.641509433962264,0.5653602499999999,0.5653602499999999,2.1102555
1950.0,"('Thailand', 'United States of America')",0.877358490566038,1.3521695,1.3521695,0.536637
1951.0,"('Indonesia', 'Saudi Arabia')",0.92,-0.78053775,-0.78053775,0.4885065
1951.0,"('Indonesia', 'Thailand')",0.62,-0.13123839999999998,-0.13123839999999998,1.7871052
1951.0,"('Indonesia', 'United States of America')",0.34,0.36140950000000005,0.36140950000000005,2.772401
1951.0,"('Saudi Arabia', 'Thailand')",0.7,0.11301485,0.11301485,1.2985987
1951.0,"('Saudi Arabia', 'United States of America')",0.42,0.60566275,0.60566275,2.2838945
1951.0,"('Thailand', 'United States of America')",0.72,1.2549621000000002,1.2549621000000002,0.9852958
1952.0,"('Indonesia', 'Saudi Arabia')",0.928571428571429,-1.1044435,-1.1044435,0.080047
1952.0,"('Indonesia', 'Thailand')",0.704081632653061,-0.20622369999999995,-0.20622369999999995,1.8764866
1952.0,"('Indonesia', 'United States of America')",0.469387755102041,0.3798205,0.3798205,3.048575
1952.0,"('Saudi Arabia', 'Thailand')",0.714285714285714,-0.16620019999999996,-0.16620019999999996,1.7964396
1952.0,"('Saudi Arabia', 'United States of America')",0.459183673469388,0.419844,0.419844,2.968528
1952.0,"('Thailand', 'United States of America')",0.744897959183674,1.3180638,1.3180638,1.1720884
1953.0,"('Indonesia', 'Saudi Arabia')",0.92,-1.00667755,-1.00667755,0.0726089000000001
1953.0,"('Indonesia', 'Thailand')",0.88,-0.53449925,-0.53449925,0.8717477
1953.0,"('Indonesia', 'United States of America')",0.54,0.24463195000000004,0.24463195000000004,2.4300101
1953.0,"('Saudi Arabia', 'Thailand')",0.92,-0.5708037,-0.5708037,0.9443566
1953.0,"('Saudi Arabia', 'United States of America')",0.5,0.2083275,0.2083275,2.502619
1953.0,"('Thailand', 'United States of America')",0.58,0.6805058,0.6805058,1.5582624
1954.0,"('Indonesia', 'Saudi Arabia')",0.810344827586207,-0.9768148,-0.9768148,0.0156118000000001
1954.0,"('Indonesia', 'Thailand')",0.85,-0.47956073,-0.47956073,1.01011994
1954.0,"('Indonesia', 'United States of America')",0.55,0.10918764999999997,0.10918764999999997,2.1876167
1954.0,"('Saudi Arabia', 'Thailand')",0.844827586206897,-0.47175482999999996,-0.47175482999999996,0.99450814
1954.0,"('Saudi Arabia', 'United States of America')",0.603448275862069,0.11699355,0.11699355,2.1720049
1954.0,"('Thailand', 'United States of America')",0.666666666666667,0.61424762,0.61424762,1.17749676
1955.0,"('Indonesia', 'Saudi Arabia')",0.87037037037037,-0.96925015,-0.96925015,0.4694117
1955.0,"('Indonesia', 'Thailand')",0.759259259259259,-0.1849542,-0.1849542,1.0991802
1955.0,"('Indonesia', 'United States of America')",0.5,0.62644535,0.62644535,2.7219793
1955.0,"('Saudi Arabia', 'Thailand')",0.666666666666667,-0.41966005,-0.41966005,1.5685919
1955.0,"('Saudi Arabia', 'United States of America')",0.407407407407407,0.3917395,0.3917395,3.191391
1955.0,"('Thailand', 'United States of America')",0.703703703703704,1.17603545,1.17603545,1.6227991
1956.0,"('Indonesia', 'Japan')",0.625,-0.10312355000000001,-0.10312355000000001,1.4285187
1956.0,"('Indonesia', 'Saudi Arabia')",0.922413793103448,-0.8980108,-0.8980108,0.1612558
1956.0,"('Indonesia', 'Thailand')",0.683333333333333,-0.06553550000000002,-0.06553550000000002,1.5036948
1956.0,"('Indonesia', 'United States of America')",0.625,0.09952405000000003,0.09952405000000003,1.8338139
1956.0,"('Japan', 'Saudi Arabia')",0.571428571428571,-0.18375144999999998,-0.18375144999999998,1.5897745
1956.0,"('Japan', 'Thailand')",0.84375,0.64872385,0.64872385,0.0751761
1956.0,"('Japan', 'United States of America')",0.84375,0.8137834,0.8137834,0.4052952
1956.0,"('Saudi Arabia', 'Thailand')",0.655172413793103,-0.1461634,-0.1461634,1.6649506
1956.0,"('Saudi Arabia', 'United States of America')",0.594827586206897,0.018896150000000056,0.018896150000000056,1.9950697
1956.0,"('Thailand', 'United States of America')",0.908333333333333,0.85137145,0.85137145,0.3301191
1957.0,"('Indonesia', 'Japan')",0.661764705882353,-0.27070425,-0.27070425,1.3323969
1957.0,"('Indonesia', 'Malaysia')",0.647058823529412,-0.3202718,-0.3202718,1.2332618
1957.0,"('Indonesia', 'Saudi Arabia')",0.852941176470588,-0.89301915,-0.89301915,0.0877671
