Country Code,Year,GDP,GDP_normalized
SGP,1973,3696213333.0,0.0025931424132512033
THA,1973,10838587358.0,0.007603998483211494
USA,1973,1425380000000.0,1.0
CHN,1974,144189000000.0,0.09331171856798944
HKG,1974,9388695367.0,0.006075881653982553
JPN,1974,490036000000.0,0.31712614221739016
KOR,1974,19543973941.0,0.012647856605446404
MYS,1974,9496204302.0,0.006145455917527375
SAU,1974,45412957746.0,0.02938893488778442
SGP,1974,5221534956.0,0.003379109365535451
THA,1974,13702998512.0,0.008867877166006575
USA,1974,1545240000000.0,1.0
CHN,1975,163430000000.0,0.09699685441272479
HKG,1975,10048089558.0,0.005963611821473085
JPN,1975,532861000000.0,0.316256751142501
KOR,1975,21784297521.0,0.0129291337889489
MYS,1975,9298800799.0,0.0055189036732150275
SAU,1975,46773208643.0,0.027760228288325715
SGP,1975,5633673930.0,0.003343625099412428
THA,1975,14882770594.0,0.008833029018932874
USA,1975,1684900000000.0,1.0
CHN,1976,153939000000.0,0.08217048056752126
HKG,1976,12876366009.0,0.0068732236984963245
JPN,1976,598884000000.0,0.31967588515060774
KOR,1976,29902479339.0,0.015961524353451727
MYS,1976,11050234599.0,0.005898460347174404
SAU,1976,64005665722.0,0.03416532724924069
SGP,1976,6327077974.0,0.0033773055412322983
THA,1976,16985208648.0,0.009066466309030057
USA,1976,1873410000000.0,1.0
CHN,1977,174936000000.0,0.0840299159873765
HKG,1977,15719433719.0,0.007550776825677409
JPN,1977,737069000000.0,0.35404860147082134
KOR,1977,38446487603.0,0.018467640298679526
MYS,1977,13139488633.0,0.006311508928682937
SAU,1977,74188986586.0,0.03563642880830808
SGP,1977,6618585074.0,0.003179214957032995
THA,1977,19779312261.0,0.009500925753303583
USA,1977,2081830000000.0,1.0
CHN,1978,149541000000.0,0.06359117196802178
HKG,1978,18315136409.0,0.007788372346062255
JPN,1978,1035610000000.0,0.4403852696036741
KOR,1978,51972107438.0,0.022100743084708285
MYS,1978,16358079862.0,0.006956148946249362
SAU,1978,80266516687.0,0.034132725245364856
SGP,1978,7517176355.0,0.003196622025429495
THA,1978,24006566637.0,0.010208609728270115
USA,1978,2351600000000.0,1.0
CHN,1979,178281000000.0,0.06785634084793307
HKG,1979,22526184533.0,0.008573793369314095
JPN,1979,1077910000000.0,0.4102682190665048
KOR,1979,66946900826.0,0.025480963878157674
MYS,1979,21213264962.0,0.00807407709043021
SAU,1979,111858000000.0,0.042574781241793
SGP,1979,9296921724.0,0.0035385435875965334
THA,1979,27371650825.0,0.010418048294275938
USA,1979,2627330000000.0,1.0
CHN,1980,191149000000.0,0.06689823645316749
HKG,1980,28861857811.0,0.01010105932187967
JPN,1980,1129380000000.0,0.3952598772971781
KOR,1980,65398377598.0,0.02288809320584746
MYS,1980,24488224677.0,0.008570377269879713
SAU,1980,164540000000.0,0.05758563124057243
SGP,1980,11896256783.0,0.004163446312440722
THA,1980,32353514989.0,0.01132306784668097
USA,1980,2857310000000.0,1.0
CHN,1981,195866000000.0,0.06107376272201157
HKG,1981,31055226089.0,0.009683454552796348
JPN,1981,1245220000000.0,0.3882770405108761
KOR,1981,72933533012.0,0.022741697332119337
MYS,1981,25004285792.0,0.0077966865994811415
SAU,1981,184291000000.0,0.05746451556575534
SGP,1981,14175228844.0,0.004420034936888845
THA,1981,34846039194.0,0.010865483185117741
USA,1981,3207040000000.0,1.0
CHN,1982,205090000000.0,0.06133459338056517
HKG,1982,32291215844.0,0.009657070522969444
JPN,1982,1158730000000.0,0.34653192933766774
KOR,1982,78358416171.0,0.023434012354543798
MYS,1982,26804493635.0,0.00801620126712503
SAU,1982,153240000000.0,0.04582823682109223
SGP,1982,16084252378.0,0.004810186159417906
THA,1982,36589772404.0,0.010942604770036396
USA,1982,3343790000000.0,1.0
CHN,1983,230687000000.0,0.06347948839308318
HKG,1983,29907227184.0,0.00822974628347514
JPN,1983,1270860000000.0,0.3497099646674225
KOR,1983,87760553262.0,0.024149583731054143
MYS,1983,30347442111.0,0.00835088279463077
SAU,1983,129172000000.0,0.03554501326347536
SGP,1983,17784112150.0,0.0048937579525817
THA,1983,40042798388.0,0.011018810576658485
USA,1983,3634040000000.0,1.0
CHN,1984,259947000000.0,0.06438140385029757
HKG,1984,33511383986.0,0.00829980706061259
JPN,1984,1345820000000.0,0.33332094976978954
KOR,1984,97510744119.0,0.024150609919977414
MYS,1984,33942897422.0,0.008406680541706603
SAU,1984,119625000000.0,0.02962767577849272
SGP,1984,19749361098.0,0.0048913493621226415
THA,1984,41797647776.0,0.010352076544292292
USA,1984,4037610000000.0,1.0
CHN,1985,309488000000.0,0.07132736265205186
HKG,1985,35699772166.0,0.008227687651475692
JPN,1985,1427020000000.0,0.3288837468713845
KOR,1985,101296000000.0,0.023345578914860176
MYS,1985,31199633353.0,0.007190545555176562
SAU,1985,103898000000.0,0.023945259024010252
