Partner,HS Code,HS_Section,Predicted Imports,Target Year
Malaysia,90.0,90,157790266.57128564,2025
Malaysia,29.0,29,305816884.1032846,2025
Malaysia,39.0,39,593368800.1108608,2025
Saudi Arabia,38.0,38,51719999.975871585,2025
Saudi Arabia,85.0,85,2222781914.7264867,2025
Saudi Arabia,33.0,33,6266304.546764066,2025
Saudi Arabia,84.0,84,368214922.1387751,2025
Saudi Arabia,83.0,83,310869.2689482108,2025
Saudi Arabia,27.0,27,5999256638.263193,2025
Saudi Arabia,71.0,71,126682351.70485817,2025
Saudi Arabia,90.0,90,34015308.46902956,2025
Saudi Arabia,29.0,29,39333217.996587805,2025
Saudi Arabia,39.0,39,162033467.4553938,2025
South Korea,38.0,38,121288119.60214962,2025
South Korea,85.0,85,6505932588.21509,2025
South Korea,33.0,33,47427583.92836225,2025
South Korea,84.0,84,3716078848.780276,2025
South Korea,83.0,83,2585112.1748632127,2025
South Korea,27.0,27,45818403494.68311,2025
South Korea,71.0,71,516938486.07760555,2025
South Korea,90.0,90,173888513.008821,2025
South Korea,29.0,29,281064957.22928447,2025
South Korea,39.0,39,618541127.4292451,2025
Thailand,38.0,38,34314884.91470183,2025
Thailand,85.0,85,1789973589.548791,2025
Thailand,33.0,33,12713588.371531297,2025
Thailand,84.0,84,1033438021.9351557,2025
Thailand,83.0,83,850141.9304371594,2025
Thailand,27.0,27,15718099424.196663,2025
Thailand,71.0,71,160438465.94475043,2025
Thailand,90.0,90,65146166.234010465,2025
Thailand,29.0,29,101298478.18374802,2025
Thailand,39.0,39,203305161.75795737,2025
United States of America,38.0,38,625267972.3487816,2025
United States of America,85.0,85,35305324680.17441,2025
United States of America,33.0,33,175656736.73162097,2025
United States of America,84.0,84,14394326130.103525,2025
United States of America,83.0,83,13595352.383019947,2025
United States of America,27.0,27,253143966659.5453,2025
United States of America,71.0,71,2475998225.908107,2025
United States of America,90.0,90,772371968.1549026,2025
United States of America,29.0,29,1672877348.9020875,2025
United States of America,39.0,39,3411100485.449196,2025
China,All Products,All,491351217269.1647,2025
