reporteriso3,hs6,partneriso3,mfn,prf,PTA,hs2,sector,broad_sectors,pfm,reporter_region,reporter_dev,reporter_wbgroup,partner_region,partner_dev,partner_wbgroup
MYS,220820,SGP,69.935837,69.935837,1,22,16-24  Foodstuffs,Agriculture,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,610590,SGP,0.0,0.0,1,61,50-63  Textiles,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,240210,SGP,27.902248,5.0,1,24,16-24  Foodstuffs,Agriculture,22.902248,EAS,South,Upper middle income,EAS,North,High income
MYS,800200,SGP,0.0,0.0,1,80,72-83  Metals ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,290410,SGP,0.0,0.0,1,29,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,420229,SGP,0.0,0.0,1,42,"41-43  Raw Hides, Skins, Leather, & Furs",Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,930190,SGP,5.0,5.0,1,93,90-97  Miscellaneous,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,901010,SGP,0.0,0.0,1,90,90-97  Miscellaneous,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,71490,SGP,0.0,0.0,1,7,06-15  Vegetable Products,Agriculture,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,841012,SGP,0.0,0.0,1,84,84-85  Machinery / Electrical,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,284390,SGP,0.0,0.0,1,28,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,290513,SGP,0.0,0.0,1,29,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,291611,SGP,0.0,0.0,1,29,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,900850,SGP,0.0,0.0,1,90,90-97  Miscellaneous,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,290522,SGP,0.0,0.0,1,29,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,844819,SGP,0.0,0.0,1,84,84-85  Machinery / Electrical,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,870190,SGP,10.0,0.0,1,87,86-89  Transportation ,Manufacturing,10.0,EAS,South,Upper middle income,EAS,North,High income
MYS,840211,SGP,20.0,0.0,1,84,84-85  Machinery / Electrical,Manufacturing,20.0,EAS,South,Upper middle income,EAS,North,High income
MYS,846090,SGP,0.0,0.0,1,84,84-85  Machinery / Electrical,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,290529,SGP,0.0,0.0,1,29,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
