Year,Country,Partner Country,Adjusted_value
2013,IDN,JPN,1.0
2013,IDN,KOR,1.0
2013,IDN,MYS,1.0
2013,IDN,SAU,0.0
2013,IDN,THA,1.0
2013,IDN,SG,1.0
2013,IDN,USA,0.0
2014,SGP,CHN,1.0
2014,SGP,HKG,0.0
2014,SGP,JPN,1.0
2014,SGP,KOR,1.0
2014,SGP,MYS,1.0
2014,SGP,SAU,0.0
2014,SGP,THA,1.0
2014,SGP,USA,1.0
2014,CHN,HKG,1.0
2014,CHN,JPN,0.0
2014,CHN,KOR,1.0
2014,CHN,MYS,1.0
2014,CHN,SAU,0.0
2014,CHN,THA,1.0
2014,CHN,USA,0.0
2014,HKG,JPN,0.0
2014,HKG,KOR,0.0
2014,HKG,MYS,1.0
2014,HKG,SAU,0.0
2014,HKG,THA,1.0
2014,HKG,USA,0.0
2014,JPN,KOR,0.0
2014,JPN,MYS,1.0
2014,JPN,SAU,0.0
2014,JPN,THA,1.0
2014,JPN,USA,0.0
2014,KOR,MYS,1.0
2014,KOR,SAU,0.0
2014,KOR,THA,1.0
2014,KOR,USA,1.0
2014,MYS,SAU,1.0
2014,MYS,THA,1.0
2014,MYS,USA,0.0
2014,SAU,THA,0.0
2014,SAU,USA,0.0
2014,THA,USA,0.0
2014,IDN,CHN,1.0
2014,IDN,HKG,1.0
2014,IDN,JPN,1.0
2014,IDN,KOR,0.0
2014,IDN,MYS,1.0
2014,IDN,SAU,0.0
2014,IDN,THA,1.0
2014,IDN,SG,1.0
2014,IDN,USA,0.0
2015,SGP,CHN,1.0
2015,SGP,HKG,0.0
2015,SGP,JPN,1.0
2015,SGP,KOR,1.0
2015,SGP,MYS,1.0
2015,SGP,SAU,0.0
2015,SGP,THA,1.0
2015,SGP,USA,1.0
2015,CHN,HKG,1.0
2015,CHN,JPN,0.0
2015,CHN,KOR,1.0
2015,CHN,MYS,1.0
2015,CHN,SAU,0.0
2015,CHN,THA,1.0
2015,CHN,USA,0.0
2015,HKG,JPN,0.0
2015,HKG,KOR,0.0
2015,HKG,MYS,1.0
2015,HKG,SAU,0.0
2015,HKG,THA,1.0
2015,HKG,USA,0.0
2015,JPN,KOR,0.0
2015,JPN,MYS,1.0
2015,JPN,SAU,0.0
2015,JPN,THA,1.0
2015,JPN,USA,0.0
2015,KOR,MYS,1.0
2015,KOR,SAU,0.0
2015,KOR,THA,1.0
2015,KOR,USA,1.0
2015,MYS,SAU,1.0
2015,MYS,THA,1.0
2015,MYS,USA,0.0
2015,SAU,THA,0.0
2015,SAU,USA,0.0
2015,THA,USA,0.0
2015,IDN,CHN,1.0
2015,IDN,HKG,1.0
2015,IDN,JPN,1.0
2015,IDN,KOR,0.0
2015,IDN,MYS,1.0
2015,IDN,SAU,0.0
2015,IDN,THA,1.0
2015,IDN,SG,1.0
2015,IDN,USA,0.0
2016,SGP,CHN,1.0
2016,SGP,HKG,0.0
2016,SGP,JPN,1.0
2016,SGP,KOR,1.0
2016,SGP,MYS,1.0
2016,SGP,SAU,0.0
2016,SGP,THA,1.0
2016,SGP,USA,1.0
2016,CHN,HKG,1.0
2016,CHN,JPN,0.0
2016,CHN,KOR,1.0
2016,CHN,MYS,1.0
2016,CHN,SAU,0.0
2016,CHN,THA,1.0
2016,CHN,USA,0.0
2016,HKG,JPN,0.0
2016,HKG,KOR,0.0
2016,HKG,MYS,1.0
2016,HKG,SAU,0.0
2016,HKG,THA,1.0
2016,HKG,USA,0.0
2016,JPN,KOR,0.0
2016,JPN,MYS,1.0
2016,JPN,SAU,0.0
2016,JPN,THA,1.0
2016,JPN,USA,0.0
2016,KOR,MYS,1.0
2016,KOR,SAU,0.0
2016,KOR,THA,1.0
2016,KOR,USA,1.0
2016,MYS,SAU,1.0
2016,MYS,THA,1.0
2016,MYS,USA,0.0
2016,SAU,THA,0.0
2016,SAU,USA,0.0
2016,THA,USA,0.0
2016,IDN,CHN,1.0
2016,IDN,HKG,1.0
2016,IDN,JPN,1.0
2016,IDN,KOR,0.0
2016,IDN,MYS,1.0
2016,IDN,SAU,0.0
2016,IDN,THA,1.0
2016,IDN,SG,1.0
2016,IDN,USA,0.0
2017,SGP,CHN,1.0
2017,SGP,HKG,1.0
2017,SGP,JPN,1.0
2017,SGP,KOR,1.0
2017,SGP,MYS,1.0
2017,SGP,SAU,0.0
2017,SGP,THA,1.0
2017,SGP,USA,1.0
2017,CHN,HKG,1.0
2017,CHN,JPN,0.0
2017,CHN,KOR,1.0
2017,CHN,MYS,1.0
2017,CHN,SAU,0.0
2017,CHN,THA,1.0
2017,CHN,USA,0.0
2017,HKG,JPN,0.0
2017,HKG,KOR,0.0
2017,HKG,MYS,1.0
2017,HKG,SAU,0.0
2017,HKG,THA,1.0
2017,HKG,USA,0.0
2017,JPN,KOR,0.0
2017,JPN,MYS,1.0
2017,JPN,SAU,0.0
2017,JPN,THA,1.0
2017,JPN,USA,0.0
2017,KOR,MYS,1.0
2017,KOR,SAU,0.0
2017,KOR,THA,1.0
2017,KOR,USA,1.0
2017,MYS,SAU,1.0
2017,MYS,THA,1.0
2017,MYS,USA,0.0
2017,SAU,THA,0.0
2017,SAU,USA,0.0
2017,THA,USA,0.0
2017,IDN,CHN,1.0
2017,IDN,HKG,1.0
2017,IDN,JPN,1.0
2017,IDN,KOR,0.0
2017,IDN,MYS,1.0
2017,IDN,SAU,0.0
2017,IDN,THA,1.0
2017,IDN,SG,1.0
2017,IDN,USA,0.0
2018,SGP,CHN,1.0
2018,SGP,HKG,1.0
2018,SGP,JPN,1.0
2018,SGP,KOR,1.0
2018,SGP,MYS,1.0
2018,SGP,SAU,1.0
2018,SGP,THA,1.0
2018,SGP,USA,1.0
2018,CHN,HKG,1.0
2018,CHN,JPN,0.0
2018,CHN,KOR,1.0
2018,CHN,MYS,1.0
2018,CHN,SAU,1.0
2018,CHN,THA,1.0
2018,CHN,USA,0.0
2018,HKG,JPN,1.0
2018,HKG,KOR,1.0
2018,HKG,MYS,1.0
2018,HKG,SAU,1.0
2018,HKG,THA,1.0
2018,HKG,USA,1.0
2018,JPN,KOR,1.0
2018,JPN,MYS,1.0
2018,JPN,SAU,1.0
2018,JPN,THA,1.0
2018,JPN,USA,1.0
