Partner,HS Code,HS_Section,Predicted Exports,Target Year
United States of America,71.0,71,1205571255.532087,2024
United States of America,39.0,39,1169291800.334165,2024
United States of America,38.0,38,448693918.5435425,2024
United States of America,33.0,33,369792761.4256614,2024
United States of America,29.0,29,804996459.9658772,2024
United States of America,27.0,27,2974778280.156404,2024
Australia,All Products,All,10060038133.863335,2024
China,All Products,All,57040217974.25941,2024
Germany,All Products,All,3400720954.5246415,2024
India,All Products,All,9538719488.194393,2024
Indonesia,All Products,All,30076837067.162663,2024
Japan,All Products,All,10331463858.827682,2024
Malaysia,All Products,All,21463440311.04812,2024
Philippines,All Products,All,7093065106.712114,2024
Saudi Arabia,All Products,All,1410284234.9278128,2024
South Korea,All Products,All,9789087560.04274,2024
Thailand,All Products,All,10092751825.471119,2024
United Arab Emirates,All Products,All,4831002027.526062,2024
United States of America,All Products,All,32595518195.720005,2024
Australia,90.0,90,1376616770.9513261,2025
Australia,85.0,85,8833388356.123463,2025
Australia,84.0,84,2242570920.312884,2025
Australia,83.0,83,65659969.13733051,2025
Australia,71.0,71,113222076.68452044,2025
Australia,39.0,39,294256380.95708853,2025
Australia,38.0,38,280985227.80020833,2025
Australia,33.0,33,101580348.70124865,2025
Australia,29.0,29,296009644.41024446,2025
Australia,27.0,27,619723128.7912369,2025
China,90.0,90,6253337637.598737,2025
China,85.0,85,26489122129.84347,2025
China,84.0,84,25131428589.51427,2025
China,83.0,83,65659969.13733051,2025
China,71.0,71,609270628.1172186,2025
China,39.0,39,1923315436.3566911,2025
China,38.0,38,3804222218.88853,2025
China,33.0,33,1128796882.416459,2025
China,29.0,29,2864271228.54566,2025
China,27.0,27,7848156849.092829,2025
Germany,90.0,90,242717067.66609627,2025
Germany,85.0,85,1812447940.609564,2025
Germany,84.0,84,3001568808.222535,2025
Germany,83.0,83,65659969.13733051,2025
Germany,71.0,71,113598323.85123959,2025
Germany,39.0,39,174742427.21498773,2025
Germany,38.0,38,126578719.40181848,2025
Germany,33.0,33,65659969.13733051,2025
Germany,29.0,29,65659969.13733051,2025
Germany,27.0,27,256006179.0527972,2025
India,90.0,90,1092290468.7530975,2025
India,85.0,85,5469237174.332424,2025
India,84.0,84,3389614669.699377,2025
India,83.0,83,65659969.13733051,2025
India,71.0,71,122525372.00302213,2025
India,39.0,39,342932454.45120716,2025
India,38.0,38,559252839.2878916,2025
India,33.0,33,173102132.8495647,2025
India,29.0,29,201145624.33942613,2025
India,27.0,27,836549929.2717104,2025
Indonesia,90.0,90,4939271747.785053,2025
Indonesia,85.0,85,18602625571.873116,2025
Indonesia,84.0,84,8107807969.9921255,2025
Indonesia,83.0,83,65659969.13733051,2025
Indonesia,71.0,71,532751575.0962201,2025
Indonesia,39.0,39,1199394099.0061202,2025
Indonesia,38.0,38,1261798479.12345,2025
Indonesia,33.0,33,372349312.63621694,2025
Indonesia,29.0,29,837282245.9147938,2025
Indonesia,27.0,27,3072055902.267983,2025
Japan,90.0,90,876795790.4694213,2025
Japan,85.0,85,6880919222.204381,2025
Japan,84.0,84,4672064585.540811,2025
Japan,83.0,83,65659969.13733051,2025
Japan,71.0,71,166308016.02834377,2025
Japan,39.0,39,323598710.76149684,2025
Japan,38.0,38,335526240.0195577,2025
Japan,33.0,33,133064184.49508768,2025
Japan,29.0,29,388758089.5862421,2025
Japan,27.0,27,865732898.1907091,2025
Malaysia,90.0,90,2741782256.2704024,2025
Malaysia,85.0,85,13329324098.87563,2025
Malaysia,84.0,84,6633486599.479042,2025
Malaysia,83.0,83,65659969.13733051,2025
Malaysia,71.0,71,292825211.5352831,2025
Malaysia,39.0,39,818312736.1425481,2025
Malaysia,38.0,38,852414467.0796908,2025
Malaysia,33.0,33,198409616.66092545,2025
Malaysia,29.0,29,396013894.6271027,2025
Malaysia,27.0,27,1397689528.9534643,2025
Philippines,90.0,90,845348171.755743,2025
Philippines,85.0,85,5021410753.103526,2025
Philippines,84.0,84,2735690080.237767,2025
Philippines,83.0,83,65659969.13733051,2025
Philippines,71.0,71,97882578.838214,2025
Philippines,39.0,39,150153671.58274066,2025
Philippines,38.0,38,193312134.59864065,2025
