ReporterName,PartnerName,ProductCode,Year,TradeValue in 1000 USD_Export,TradeValue in 1000 USD_Import,Total_Trade,HS Code,4 digit categories,Product descriptions
Singapore,"Korea, Rep.",53,2023,11.555,4.308,15.863,53.0,5301 - 5311,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn
Singapore,"Korea, Rep.",51,2023,,1.022,1.022,51.0,5101 - 5113,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"
Singapore,"Korea, Rep.",60,2023,5.891,2310.434,2316.3250000000003,60.0,6001 - 6006,Knitted or crocheted fabrics
Singapore,"Korea, Rep.",50,2023,72.948,162.175,235.123,50.0,5001 - 5007,Silk
Singapore,"Korea, Rep.",49,2023,20158.518,1567.729,21726.247,49.0,4901 - 4911,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans"
Singapore,"Korea, Rep.",48,2023,42798.013,20922.363,63720.376000000004,48.0,4801 - 4823,"Paper and paperboard; articles of paper pulp, of paper or of paperboard"
Singapore,"Korea, Rep.",47,2023,2432.358,81.326,2513.684,47.0,4701 - 4707,Pulp of wood or of other fibrous cellulosic material; waste and scrap of paper or paperboard
Singapore,"Korea, Rep.",46,2023,2.5,5.546,8.046,46.0,4601 - 4602,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"
Singapore,"Korea, Rep.",45,2023,0.257,2.746,3.003,45.0,4501 - 4504,Cork and articles of cork
Singapore,"Korea, Rep.",59,2023,653.283,4077.25,4730.533,59.0,5901 - 5911,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use"
Singapore,"Korea, Rep.",61,2023,11834.389,9603.004,21437.393,61.0,6101 - 6117,"Articles of apparel and clothing accessories, knitted or crocheted"
Singapore,"Korea, Rep.",78,2023,404.944,17297.084,17702.028,78.0,7801 - 7806,Lead and articles thereof
Singapore,"Korea, Rep.",70,2023,119712.409,16300.05,136012.459,70.0,7001 - 7020,Glass and glassware
Singapore,"Korea, Rep.",76,2023,22808.841,15329.519,38138.36,76.0,7601 - 7616,Aluminium and articles thereof
Singapore,"Korea, Rep.",75,2023,1279.278,2397.465,3676.7430000000004,75.0,7501 - 7508,Nickel and articles thereof
Singapore,"Korea, Rep.",74,2023,29433.669,47673.047,77106.716,74.0,7401 - 7419,Copper and articles thereof
Singapore,"Korea, Rep.",73,2023,36082.737,153985.808,190068.54499999998,73.0,7301 - 7326,Articles of iron or steel
Singapore,"Korea, Rep.",72,2023,38966.601,104865.518,143832.119,72.0,7201 - 7229,Iron and steel
Singapore,"Korea, Rep.",71,2023,45101.559,481553.643,526655.2019999999,71.0,7101 - 7118,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin"
Singapore,"Korea, Rep.",69,2023,4116.585,10471.264,14587.848999999998,69.0,6901 - 6914,Ceramic products
Singapore,"Korea, Rep.",62,2023,7162.203,5392.931,12555.134,62.0,6201 - 6217,"Articles of apparel and clothing accessories, not knitted or crocheted"
Singapore,"Korea, Rep.",68,2023,4636.549,6837.519,11474.068,68.0,6801 - 6815,"Articles of stone, plaster, cement, asbestos, mica or similar materials"
Singapore,"Korea, Rep.",67,2023,14.872,38.98,53.852,67.0,6701 - 6704,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair
Singapore,"Korea, Rep.",66,2023,11.533,136.935,148.468,66.0,6601 - 6603,"Umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof"
Singapore,"Korea, Rep.",65,2023,1475.313,1063.016,2538.329,65.0,6501 - 6507,Headgear and parts thereof
Singapore,"Korea, Rep.",64,2023,9292.846,1705.638,10998.484,64.0,6401 - 6406,"Footwear, gaiters and the like; parts of such articles"
Singapore,"Korea, Rep.",63,2023,4317.024,5485.08,9802.104,63.0,6301 - 6310,Other made up textile articles; sets; worn clothing and worn textile articles; rags
Singapore,Malaysia,16,2023,16471.445,104839.979,121311.424,16.0,1601 - 1605,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"
Singapore,Malaysia,17,2023,13236.942,54751.868,67988.81,17.0,1701 - 1704,Sugars and sugar confectionery
Singapore,Malaysia,18,2023,96631.153,107910.44,204541.593,18.0,1801 - 1806,Cocoa and cocoa preparations
