Year,Product,HS Code,Country,Country ISO,Imports,Exports,Trade Volume
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,Australia,AUS,353960700.5,2196540503,2550501204
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,Germany,DEU,2773533693,1149227821,3922761514
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,India,IND,277847156.4,2279991631,2557838787
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,Philippines,PHL,262299854.4,1147326080,1409625934
2013,Metal; miscellaneous products of base metal,83,China,CHN,137520774,30595158.02,168115932
2013,Metal; miscellaneous products of base metal,83,"China, Hong Kong SAR",HKG,19428415.88,30525307.28,49953723.16
2013,Metal; miscellaneous products of base metal,83,Indonesia,IDN,12972905.33,102945147.7,115918053
2013,Metal; miscellaneous products of base metal,83,Japan,JPN,28708606.68,3843890.144,32552496.82
2013,Metal; miscellaneous products of base metal,83,Malaysia,MYS,43830524.38,83527204.22,127357728.6
2013,Metal; miscellaneous products of base metal,83,Rep. of Korea,KOR,17001723.23,9326187.452,26327910.68
2013,Metal; miscellaneous products of base metal,83,Saudi Arabia,SAU,13981.231,1354929.589,1368910.82
2013,Metal; miscellaneous products of base metal,83,Thailand,THA,12492325.77,20870387.74,33362713.51
2013,Metal; miscellaneous products of base metal,83,USA,USA,82135716.44,22464273.96,104599990.4
2013,Metal; miscellaneous products of base metal,83,Australia,AUS,3331128.48,14865731.33,18196859.81
2013,Metal; miscellaneous products of base metal,83,Germany,DEU,42838028.76,15178850.65,58016879.41
2013,Metal; miscellaneous products of base metal,83,India,IND,8020751.563,10632459.97,18653211.53
2013,Metal; miscellaneous products of base metal,83,Philippines,PHL,1548383.62,25681666.58,27230050.2
2013,Metal; miscellaneous products of base metal,83,United Arab Emirates,ARE,146334.225,4158259.245,4304593.47
2013,Metal; miscellaneous products of base metal,83,Viet Nam,VNM,10932029.14,18819982.49,29752011.63
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71,Rep. of Korea,KOR,152285446.7,373230341.3,525515788
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71,Saudi Arabia,SAU,3288903.483,6848317.577,10137221.06
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71,Thailand,THA,172121883.5,360563707.3,532685590.8
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71,USA,USA,893616922.6,342888153.7,1236505076
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71,Australia,AUS,1322750063,125131511.4,1447881574
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71,Germany,DEU,90659435.11,80856345.81,171515780.9
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71,India,IND,836118533.4,987361195.6,1823479729
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71,Philippines,PHL,2198760.617,85612943.98,87811704.6
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71,United Arab Emirates,ARE,2419898831,1790637391,4210536222
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71,Viet Nam,VNM,2291972.556,21349593.15,23641565.71
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71,China,CHN,649851776.1,1079020021,1728871797
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71,"China, Hong Kong SAR",HKG,1464186828,2232234606,3696421434
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71,Indonesia,IDN,1393823760,3550696806,4944520566
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71,Japan,JPN,1051892684,223773136.6,1275665821
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71,Malaysia,MYS,1259195481,2686687408,3945882889
2013,Plastics and articles thereof,39,China,CHN,585712112.5,4400439566,4986151679
2013,Plastics and articles thereof,39,"China, Hong Kong SAR",HKG,29877778.87,537107085.8,566984864.7
2013,Plastics and articles thereof,39,Indonesia,IDN,167605477.5,1700407930,1868013408
2013,Plastics and articles thereof,39,Japan,JPN,507248360.5,487931303.1,995179663.6
2013,Plastics and articles thereof,39,Malaysia,MYS,842725633.4,1967288116,2810013749
2013,Plastics and articles thereof,39,Rep. of Korea,KOR,235329679.4,274709435,510039114.4
2013,Plastics and articles thereof,39,Saudi Arabia,SAU,2014607135,62719334.7,2077326470
2013,Plastics and articles thereof,39,Thailand,THA,162683404.7,883973131.2,1046656536
2013,Plastics and articles thereof,39,USA,USA,1196633168,416916614,1613549782
2013,Plastics and articles thereof,39,India,IND,57730362.57,798813215.8,856543578.4
2013,Plastics and articles thereof,39,Philippines,PHL,9515948.964,453590572.8,463106521.8
2013,Plastics and articles thereof,39,United Arab Emirates,ARE,223288818.4,85323772.03,308612590.4
2013,Plastics and articles thereof,39,Viet Nam,VNM,26418809.43,704339745,730758554.4
2013,Plastics and articles thereof,39,Australia,AUS,36097774.99,261181224.9,297278999.9
2013,Plastics and articles thereof,39,Germany,DEU,326152403.6,44728985.22,370881388.8
2013,Chemical products n.e.c.,38,China,CHN,297608723.6,957377667.1,1254986391
2013,Chemical products n.e.c.,38,"China, Hong Kong SAR",HKG,7250480.412,94270466.3,101520946.7
2013,Chemical products n.e.c.,38,Australia,AUS,5235503.261,143685392.7,148920896
2013,Chemical products n.e.c.,38,Germany,DEU,173903682.2,34577976.93,208481659.1
2013,Chemical products n.e.c.,38,India,IND,43973356.7,188236807.9,232210164.6
2013,Chemical products n.e.c.,38,Philippines,PHL,1958101.229,68347340.31,70305441.54
2013,Chemical products n.e.c.,38,United Arab Emirates,ARE,628440.969,36920376.54,37548817.51
2013,Chemical products n.e.c.,38,Viet Nam,VNM,11314660.16,167370304.6,178684964.8
2013,Chemical products n.e.c.,38,Indonesia,IDN,274812860.8,405363016.4,680175877.2
2013,Chemical products n.e.c.,38,Japan,JPN,363365449.4,323361587.3,686727036.7
2013,Chemical products n.e.c.,38,Malaysia,MYS,308674755.9,467637440.5,776312196.4
2013,Chemical products n.e.c.,38,Rep. of Korea,KOR,148456838.1,525212777.6,673669615.7
2013,Chemical products n.e.c.,38,Saudi Arabia,SAU,9272957.639,15719591.39,24992549.03
2013,Chemical products n.e.c.,38,Thailand,THA,11205236.55,281834934.9,293040171.5
2013,Chemical products n.e.c.,38,USA,USA,1238005664,306150474.1,1544156138
2013,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33,Malaysia,MYS,54866184.05,301508051.8,356374235.9
2013,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33,Rep. of Korea,KOR,38150314.87,491938007.9,530088322.8
2013,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33,Saudi Arabia,SAU,749479.514,6038167.374,6787646.888
2013,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33,Thailand,THA,73493324.73,445577973.6,519071298.3
2013,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33,USA,USA,361060838.2,216383421.4,577444259.6
2013,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33,Australia,AUS,20253872.74,320718896.3,340972769
2013,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33,Germany,DEU,100101794.6,25975676.26,126077470.9
2013,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33,India,IND,72409463.23,39307500.06,111716963.3
2013,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33,Philippines,PHL,13948231.88,204187015,218135246.9
2013,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33,United Arab Emirates,ARE,11182860.98,65180707.2,76363568.18
2013,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33,Viet Nam,VNM,7748419.231,191058277.1,198806696.3
2013,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33,China,CHN,105776387.7,447533797.6,553310185.3
2013,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33,"China, Hong Kong SAR",HKG,47536346.66,500787265.7,548323612.4
